Rk,Team,Age,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance
1,ChicagoBulls,29.9,70,12,12.24,-0.44,11.80,115.2,101.8,91.1,.291,.196,.555,.517,13.1,36.9,.217,.482,16.1,71.1,.222,UnitedCenter,969149
2,SeattleSuperSonics,29.6,61,21,7.79,-0.40,7.40,110.3,102.1,93.8,.379,.249,.574,.526,16.2,29.7,.288,.479,16.7,69.5,.252,KeyArenaatSeattleCenter,697301
3,UtahJazz,29.5,59,23,6.59,-0.34,6.25,113.3,106.1,90.0,.359,.158,.566,.517,14.1,31.6,.276,.489,15.1,71.7,.295,DeltaCenter,813073
4,SanAntonioSpurs,29.4,58,24,6.30,-0.33,5.98,110.2,103.5,93.3,.342,.200,.558,.516,13.6,27.5,.252,.472,13.9,70.0,.216,Alamodome,782701
5,OrlandoMagic,27.7,56,26,5.56,-0.16,5.40,112.9,106.9,91.8,.336,.248,.562,.529,13.2,29.0,.232,.491,14.0,68.8,.223,OrlandoArena,707168
6,LosAngelesLakers,27.1,53,29,4.45,-0.24,4.21,111.4,106.6,92.4,.306,.203,.555,.515,13.3,30.1,.228,.491,14.9,66.8,.205,GreatWesternForum,649634
7,IndianaPacers,29.4,50,32,3.24,-0.14,3.11,110.8,107.2,89.3,.389,.157,.560,.509,15.5,33.0,.294,.491,14.7,69.3,.271,MarketSquareArena,673967
8,ClevelandCavaliers,27.5,49,33,2.59,-0.09,2.49,109.9,106.7,82.3,.296,.264,.551,.510,13.7,28.6,.226,.506,16.3,70.2,.242,GundArena,730095
9,DetroitPistons,26.8,49,33,2.50,-0.05,2.45,107.9,105.1,87.7,.360,.221,.551,.504,14.6,28.0,.271,.483,13.7,71.7,.229,ThePalaceofAuburnHills,730573
10,NewYorkKnicks,30.4,48,34,2.32,-0.08,2.24,106.0,103.5,91.0,.306,.201,.550,.509,14.9,25.5,.232,.476,14.8,71.1,.251,MadisonSquareGarden(IV),810283
11,PortlandTrailBlazers,28.1,48,34,2.35,-0.14,2.21,106.0,103.5,92.6,.347,.203,.528,.494,15.2,33.4,.230,.478,13.5,73.4,.236,RoseGardenArena,848055
12,HoustonRockets,29.0,46,36,1.74,-0.12,1.63,109.3,107.4,93.2,.317,.265,.555,.512,14.1,26.9,.243,.495,13.6,68.6,.206,TheSummit,667840
13,MiamiHeat,27.4,45,37,1.43,0.03,1.46,105.3,103.8,91.1,.345,.230,.541,.501,16.0,30.1,.245,.469,14.8,71.8,.298,MiamiArena,606088
14,AtlantaHawks,28.1,45,37,1.22,0.07,1.29,109.4,108.0,89.6,.302,.239,.534,.490,14.0,34.0,.229,.512,16.3,67.1,.217,OmniColiseum,496668
15,WashingtonBullets,24.8,44,38,1.06,-0.07,0.99,108.7,107.6,93.7,.314,.183,.558,.521,15.0,28.2,.228,.489,15.0,67.8,.274,USAirwaysArena,669598
16,PhoenixSuns,27.9,42,40,0.33,-0.05,0.28,110.3,110.0,93.2,.370,.147,.551,.498,13.5,29.8,.286,.511,13.3,71.4,.225,AmericaWestArena,779943
17,CharlotteHornets,27.8,39,43,-0.57,0.09,-0.48,111.2,111.8,91.6,.320,.230,.558,.514,14.1,29.5,.246,.529,13.9,70.3,.217,CharlotteColiseum,985722
18,GoldenStateWarriors,27.0,37,45,-1.45,0.03,-1.42,108.4,109.9,93.4,.349,.179,.539,.489,14.8,33.9,.265,.510,15.2,67.2,.232,Oakland-AlamedaCountyColiseumArena,616025
19,DenverNuggets,26.8,33,49,-2.71,0.09,-2.62,105.2,108.1,92.2,.326,.172,.526,.481,14.2,30.7,.242,.492,12.8,72.7,.237,McNicholsSportsArena,675425
20,SacramentoKings,26.6,33,49,-2.71,0.09,-2.62,106.2,109.1,93.4,.371,.184,.540,.493,16.0,32.5,.271,.498,15.1,69.0,.302,ARCOArena(II),709999
21,BostonCeltics,26.3,32,50,-3.40,0.03,-3.37,106.4,109.9,96.2,.329,.209,.534,.494,14.1,28.8,.235,.511,14.3,70.0,.258,FleetCenter,730842
22,LosAngelesClippers,25.2,31,51,-3.60,0.13,-3.46,106.5,110.3,93.2,.300,.208,.544,.511,15.3,29.3,.210,.512,15.2,67.9,.282,LosAngelesMemorialSportsArena,405495
23,NewJerseyNets,27.4,29,53,-4.23,0.09,-4.14,101.9,106.5,90.9,.332,.111,.497,.445,15.1,36.4,.248,.495,14.5,70.9,.223,BrendanByrneArena,638144
24,DallasMavericks,25.1,28,54,-4.90,0.19,-4.71,106.1,111.2,95.4,.266,.274,.507,.470,13.3,34.1,.192,.526,14.7,68.6,.222,ReunionArena,684138
25,MilwaukeeBucks,27.5,26,56,-5.30,0.38,-4.92,105.6,111.5,90.2,.295,.163,.534,.495,15.0,29.7,.218,.520,14.1,68.4,.248,BradleyCenter,647088
26,MinnesotaTimberwolves,26.4,26,56,-5.35,0.22,-5.14,104.1,109.8,93.5,.357,.132,.535,.480,16.0,29.8,.277,.509,15.0,68.7,.267,TargetCenter,585669
27,TorontoRaptors,26.2,21,61,-7.51,0.31,-7.20,103.8,111.8,93.2,.296,.177,.536,.499,17.2,32.0,.214,.514,14.7,66.8,.272,SkyDome,950330
28,Philadelphia76ers,26.1,16,66,-10.00,0.55,-9.45,102.2,113.0,92.2,.353,.224,.522,.474,16.0,29.4,.259,.522,14.4,65.0,.217,CoreStatesSpectrum,476016
29,VancouverGrizzlies,27.2,15,67,-9.98,0.43,-9.55,97.6,108.5,91.0,.308,.174,.500,.456,15.5,27.3,.223,.510,16.1,66.3,.241,GeneralMotorsPlace,654013
