Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PA/G
1,Cleveland Cavaliers*,82,19780,2775,6444,.431,482,1447,.333,2293,4997,.459,1459,1895,.770,878,2310,3188,1568,519,338,1137,1664,7491,91.4
2,San Antonio Spurs*,82,19905,2973,6568,.453,447,1180,.379,2526,5388,.469,1257,1635,.769,745,2570,3315,1481,531,352,961,1511,7650,93.3
3,Boston Celtics*,82,19880,2763,6418,.431,507,1452,.349,2256,4966,.454,1626,2110,.771,834,2249,3083,1553,585,389,1195,1820,7659,93.4
4,Portland Trail Blazers*,82,19830,2899,6302,.460,487,1301,.374,2412,5001,.482,1430,1780,.803,786,2190,2976,1590,514,319,1082,1733,7715,94.1
5,New Orleans Hornets*,82,19755,2851,6329,.450,575,1625,.354,2276,4704,.484,1453,1879,.773,822,2459,3281,1649,476,290,1089,1675,7730,94.3
6,Orlando Magic*,82,19730,2936,6785,.433,444,1297,.342,2492,5488,.454,1421,1882,.755,864,2591,3455,1488,564,308,1072,1840,7737,94.4
7,Houston Rockets*,82,19805,2991,6735,.444,464,1298,.357,2527,5437,.465,1296,1730,.749,873,2399,3272,1620,588,435,1012,1689,7742,94.4
8,Detroit Pistons*,82,19905,2876,6380,.451,435,1228,.354,2441,5152,.474,1580,2039,.775,861,2453,3314,1651,461,342,964,1612,7767,94.7
9,Charlotte Bobcats,82,19930,2883,6349,.454,558,1526,.366,2325,4823,.482,1457,1928,.756,877,2310,3187,1604,626,488,1206,1714,7781,94.9
10,Atlanta Hawks*,82,19705,3002,6609,.454,528,1496,.353,2474,5113,.484,1385,1800,.769,955,2481,3436,1705,530,354,1121,1681,7917,96.5
11,Philadelphia 76ers*,82,19755,2997,6489,.462,585,1595,.367,2412,4894,.493,1402,1792,.782,935,2285,3220,1799,575,400,1278,1786,7981,97.3
12,Miami Heat*,82,19955,2920,6412,.455,591,1519,.389,2329,4893,.476,1609,2086,.771,896,2536,3432,1646,528,335,1246,1632,8040,98.0
13,Los Angeles Lakers*,82,19780,3050,6825,.447,586,1700,.345,2464,5125,.481,1454,1931,.753,959,2440,3399,1854,635,392,1275,1816,8140,99.3
14,Memphis Grizzlies,82,19805,3018,6378,.473,536,1510,.355,2482,4868,.510,1574,2043,.770,842,2431,3273,1735,632,443,1194,1786,8146,99.3
15,Dallas Mavericks*,82,19805,3071,6752,.455,517,1379,.375,2554,5373,.475,1522,1907,.798,884,2509,3393,1611,589,334,1064,1645,8181,99.8
16,Milwaukee Bucks,82,19780,2854,6233,.458,562,1486,.378,2292,4747,.483,1961,2480,.791,831,2527,3358,1730,616,376,1350,1842,8231,100.4
17,New Jersey Nets,82,19830,2953,6385,.462,600,1536,.391,2353,4849,.485,1738,2281,.762,872,2523,3395,1793,567,393,1103,1680,8244,100.5
18,Utah Jazz*,82,19880,3019,6509,.464,534,1479,.361,2485,5030,.494,1703,2233,.763,908,2393,3301,1640,658,424,1323,1972,8275,100.9
19,Denver Nuggets*,82,19730,2966,6738,.440,601,1643,.366,2365,5095,.464,1742,2228,.782,991,2391,3382,1756,648,447,1265,1944,8275,100.9
20,Toronto Raptors,82,19805,3172,6827,.465,629,1716,.367,2543,5111,.498,1379,1759,.784,895,2539,3434,1887,521,386,1093,1645,8352,101.9
21,Chicago Bulls*,82,19930,3141,6864,.458,486,1400,.347,2655,5464,.486,1633,2077,.786,1017,2491,3508,1723,622,449,1177,1708,8401,102.5
22,Minnesota Timberwolves,82,19805,3109,6561,.474,536,1420,.377,2573,5141,.500,1668,2145,.778,813,2539,3352,1765,610,484,1028,1642,8422,102.7
23,Oklahoma City Thunder,82,19805,3230,6799,.475,524,1439,.364,2706,5360,.505,1468,1930,.761,884,2496,3380,1769,697,407,1140,1656,8452,103.1
24,Washington Wizards,82,19705,3164,6565,.482,674,1740,.387,2490,4825,.516,1487,1959,.759,934,2491,3425,2015,593,431,1140,1638,8489,103.5
25,Los Angeles Clippers,82,19880,3218,6805,.473,536,1431,.375,2682,5374,.499,1546,2035,.760,962,2653,3615,1951,652,414,1093,1609,8518,103.9
26,Indiana Pacers,82,19830,3141,6862,.458,569,1519,.375,2572,5343,.481,1857,2431,.764,909,2708,3617,1731,635,444,1151,1692,8708,106.2
27,Phoenix Suns,82,19755,3278,7025,.467,626,1635,.383,2652,5390,.492,1634,2108,.775,993,2352,3345,1741,706,369,1165,1877,8816,107.5
28,New York Knicks,82,19805,3378,7041,.480,571,1625,.351,2807,5416,.518,1514,1998,.758,954,2826,3780,1774,654,437,1188,1592,8841,107.8
29,Sacramento Kings,82,19905,3281,6792,.483,580,1430,.406,2701,5362,.504,1824,2412,.756,1018,2592,3610,1796,704,423,1178,1737,8966,109.3
30,Golden State Warriors,82,19880,3401,7273,.468,582,1531,.380,2819,5742,.491,1828,2346,.779,1165,2695,3860,1980,647,414,1229,1927,9212,112.3
