
Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTS/G
1,GoldenStateWarriors,82,19705,3489,7208,.484,243,750,.324,3246,6458,.503,2313,2858,.809,915,2385,3300,1978,756,488,1415,2010,9534,116.3
2,PhoenixSuns,82,19855,3544,7139,.496,176,543,.324,3368,6596,.511,2159,2716,.795,1053,2651,3704,2109,668,501,1275,1825,9423,114.9
3,DenverNuggets,82,19805,3716,8015,.464,228,677,.337,3488,7338,.475,1737,2201,.789,1169,2532,3701,2275,814,329,1136,2047,9397,114.6
4,PortlandTrailBlazers,82,19880,3572,7547,.473,190,565,.336,3382,6982,.484,2031,2734,.743,1355,2552,3907,2085,749,364,1356,2048,9365,114.2
5,OrlandoMagic,82,19805,3457,7525,.459,116,393,.295,3341,7132,.468,2060,2725,.756,1304,2465,3769,1993,617,294,1407,1975,9090,110.9
6,LosAngelesLakers,82,19855,3434,7010,.490,309,841,.367,3125,6169,.507,1902,2417,.787,1097,2460,3557,2232,655,445,1226,1737,9079,110.7
7,Philadelphia76ers,82,19805,3437,7028,.489,189,543,.348,3248,6485,.501,1976,2509,.788,1111,2406,3517,1932,687,365,1209,1697,9039,110.2
8,BostonCeltics,82,19705,3563,7148,.498,106,404,.262,3457,6744,.513,1791,2153,.832,1066,2707,3773,2423,539,455,1256,1717,9023,110.0
9,ChicagoBulls,82,19830,3531,7090,.498,250,669,.374,3281,6421,.511,1665,2140,.778,1075,2279,3354,2172,814,388,1247,1906,8977,109.5
10,IndianaPacers,82,19880,3381,6807,.497,294,770,.382,3087,6037,.511,1906,2335,.816,940,2388,3328,2023,552,350,1342,1972,8962,109.3
11,AtlantaHawks,82,19730,3417,7019,.487,124,411,.302,3293,6608,.498,1943,2544,.764,1273,2187,3460,1820,717,353,1270,1871,8901,108.5
12,NewYorkKnicks,82,19830,3434,7089,.484,236,710,.332,3198,6379,.501,1775,2349,.756,1187,2426,3613,2140,714,492,1412,1828,8879,108.3
13,WashingtonBullets,82,19830,3598,7581,.475,37,197,.188,3561,7384,.482,1599,2093,.764,1198,2450,3648,2214,561,424,1201,1929,8832,107.7
14,SeattleSuperSonics,82,19905,3466,7243,.479,231,650,.355,3235,6593,.491,1606,2167,.741,1323,2255,3578,1874,701,335,1336,2064,8769,106.9
15,UtahJazz,82,19830,3330,6593,.505,226,630,.359,3104,5963,.521,1874,2484,.754,953,2501,3454,2212,677,491,1410,2031,8760,106.8
16,HoustonRockets,82,19805,3483,7250,.480,153,491,.312,3330,6759,.493,1633,2267,.720,1217,2638,3855,2194,809,551,1513,1934,8752,106.7
17,SanAntonioSpurs,82,19730,3388,6997,.484,54,226,.239,3334,6771,.492,1888,2535,.745,1163,2474,3637,2037,799,554,1399,1854,8718,106.3
18,MilwaukeeBucks,82,19830,3380,7146,.473,209,670,.312,3171,6476,.490,1722,2273,.758,1108,2246,3354,2046,826,326,1315,2086,8691,106.0
19,DetroitPistons,82,19805,3333,6980,.478,177,541,.327,3156,6439,.490,1713,2252,.761,1185,2458,3643,1996,512,418,1233,1961,8556,104.3
20,LosAngelesClippers,82,19805,3319,6853,.484,56,230,.243,3263,6623,.493,1815,2458,.738,1056,2362,3418,1978,782,507,1547,1859,8509,103.8
21,ClevelandCavaliers,82,19880,3214,6977,.461,346,851,.407,2868,6126,.468,1637,2201,.744,1128,2380,3508,2106,645,512,1243,1666,8411,102.6
22,DallasMavericks,82,19855,3246,6831,.475,157,486,.323,3089,6345,.487,1735,2261,.767,1042,2419,3461,1776,664,398,1228,1733,8384,102.2
23,SacramentoKings,82,19755,3305,7056,.468,216,649,.333,3089,6407,.482,1515,1964,.771,952,2363,3315,2052,546,392,1239,1863,8341,101.7
24,MiamiHeat,82,19730,3383,7345,.461,88,300,.293,3295,7045,.468,1393,2028,.687,1242,2313,3555,1957,736,388,1557,2123,8247,100.6
25,CharlotteHornets,82,19755,3270,7183,.455,205,611,.336,3065,6572,.466,1487,1967,.756,962,2211,3173,2080,778,262,1226,1889,8232,100.4
26,NewJerseyNets,82,19705,3157,7415,.426,140,506,.277,3017,6909,.437,1754,2350,.746,1363,2324,3687,1475,774,481,1360,1952,8208,100.1
27,MinnesotaTimberwolves,82,19855,3067,6876,.446,73,294,.248,2994,6582,.455,1596,2137,.747,1196,2053,3249,1844,789,344,1197,1901,7803,95.2
,LeagueAverage,82,19806,3404,7146,.476,179,541,.331,3225,6605,.488,1786,2338,.764,1135,2403,3538,2038,699,415,1317,1907,8773,107.0
