Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PA/G
1,Detroit Pistons*,82,19730,2727,6239,.437,409,1233,.332,2318,5006,.463,1523,2047,.744,865,2344,3209,1563,477,319,1108,1618,7386,90.1
2,Boston Celtics*,82,19755,2657,6341,.419,485,1535,.316,2172,4806,.452,1605,2160,.743,899,2290,3189,1539,594,389,1308,1818,7404,90.3
3,San Antonio Spurs*,82,19730,2857,6431,.444,420,1227,.342,2437,5204,.468,1293,1710,.756,776,2527,3303,1490,566,361,1058,1625,7427,90.6
4,Houston Rockets*,82,19730,2852,6594,.433,433,1186,.365,2419,5408,.447,1410,1912,.737,894,2441,3335,1548,622,379,1094,1615,7547,92.0
5,New Orleans Hornets*,82,19805,3038,6604,.460,544,1552,.351,2494,5052,.494,1217,1579,.771,815,2533,3348,1779,470,331,1136,1573,7837,95.6
6,Dallas Mavericks*,82,19730,2903,6551,.443,408,1168,.349,2495,5383,.463,1648,2168,.760,882,2419,3301,1547,536,357,999,1739,7862,95.9
7,Philadelphia 76ers*,82,19755,3000,6504,.461,557,1549,.360,2443,4955,.493,1332,1726,.772,923,2293,3216,1903,550,420,1289,1708,7889,96.2
8,Portland Trail Blazers,82,19905,2983,6616,.451,533,1499,.356,2450,5117,.479,1401,1828,.766,957,2465,3422,1714,488,301,1026,1656,7900,96.3
9,Cleveland Cavaliers*,82,19855,2939,6462,.455,506,1419,.357,2433,5043,.482,1548,2070,.748,814,2500,3314,1721,559,388,1092,1666,7932,96.7
10,Toronto Raptors*,82,19830,3007,6569,.458,619,1683,.368,2388,4886,.489,1344,1732,.776,830,2583,3413,1797,470,333,1149,1508,7977,97.3
11,Orlando Magic*,82,19780,3057,6855,.446,516,1441,.358,2541,5414,.469,1489,1975,.754,900,2519,3419,1764,581,344,1081,1898,8119,99.0
12,Washington Wizards*,82,19905,3015,6537,.461,683,1768,.386,2332,4769,.489,1418,1880,.754,900,2478,3378,1958,529,360,1149,1656,8131,99.2
13,Utah Jazz*,82,19705,2896,6286,.461,506,1419,.357,2390,4867,.491,1848,2468,.749,844,2256,3100,1629,619,420,1305,1891,8146,99.3
14,Atlanta Hawks*,82,19855,3115,6733,.463,512,1413,.362,2603,5320,.489,1461,1943,.752,968,2386,3354,1825,615,421,1123,1793,8203,100.0
15,Miami Heat,82,19830,3029,6477,.468,552,1497,.369,2477,4980,.497,1590,2105,.755,916,2617,3533,1817,631,341,1166,1650,8200,100.0
16,Chicago Bulls,82,19805,2982,6583,.453,571,1522,.375,2411,5061,.476,1699,2217,.766,914,2582,3496,1794,648,465,1254,1746,8234,100.4
17,New Jersey Nets,82,19830,2982,6543,.456,534,1448,.369,2448,5095,.480,1774,2311,.768,896,2517,3413,1810,662,362,1098,1836,8272,100.9
18,Los Angeles Clippers,82,19805,3114,6670,.467,486,1393,.349,2628,5277,.498,1574,2096,.751,916,2657,3573,1834,590,388,1112,1773,8288,101.1
19,Los Angeles Lakers*,82,19780,3127,7022,.445,554,1531,.362,2573,5491,.469,1501,1995,.752,988,2521,3509,1793,634,368,1168,1850,8309,101.3
20,Charlotte Bobcats,82,19880,3115,6684,.466,517,1456,.355,2598,5228,.497,1571,2102,.747,999,2588,3587,1785,625,476,1177,1721,8318,101.4
21,Minnesota Timberwolves,82,19730,3056,6481,.472,541,1516,.357,2515,4965,.507,1742,2266,.769,871,2545,3416,1899,610,467,1103,1434,8395,102.4
22,New York Knicks,82,19880,3184,6711,.474,587,1592,.369,2597,5119,.507,1535,2078,.739,924,2573,3497,1773,621,429,1046,1665,8490,103.5
23,Milwaukee Bucks,82,19855,3147,6562,.480,588,1530,.384,2559,5032,.509,1639,2141,.766,872,2464,3336,1913,647,404,1125,1727,8521,103.9
24,Sacramento Kings,82,19830,3137,6732,.466,597,1600,.373,2540,5132,.495,1722,2287,.753,970,2465,3435,1878,661,452,1250,1892,8593,104.8
25,Phoenix Suns*,82,19780,3368,7384,.456,469,1329,.353,2899,6055,.479,1407,1879,.749,1101,2498,3599,1607,601,311,1101,1731,8612,105.0
26,Indiana Pacers,82,19755,3093,6817,.454,606,1571,.386,2487,5246,.474,1850,2443,.757,929,2800,3729,1820,663,416,1297,1782,8642,105.4
27,Seattle SuperSonics,82,19830,3288,7136,.461,607,1576,.385,2681,5560,.482,1534,2048,.749,961,2655,3616,1997,706,440,1082,1610,8717,106.3
28,Memphis Grizzlies,82,19805,3394,7076,.480,591,1625,.364,2803,5451,.514,1387,1791,.774,932,2721,3653,1963,711,403,1096,1842,8766,106.9
29,Denver Nuggets*,82,19855,3334,7303,.457,621,1710,.363,2713,5593,.485,1481,2028,.730,1042,2680,3722,2107,644,393,1343,1950,8770,107.0
30,Golden State Warriors,82,19780,3273,6998,.468,572,1556,.368,2701,5442,.496,1806,2378,.759,1053,2803,3856,1939,567,413,1384,1736,8924,108.8
