Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PA/G
1,San Antonio Spurs*,82,19780,2860,6463,.443,368,1101,.334,2492,5362,.465,1300,1756,.740,829,2379,3208,1416,580,337,1176,1739,7388,90.1
2,Detroit Pistons*,82,19880,2819,6337,.445,409,1205,.339,2410,5132,.470,1484,2006,.740,973,2403,3376,1647,521,290,1205,1668,7531,91.8
3,Houston Rockets*,82,19855,2793,6503,.429,472,1346,.351,2321,5157,.450,1497,2000,.749,800,2548,3348,1588,571,353,1163,1631,7555,92.1
4,Dallas Mavericks*,82,19755,2790,6241,.447,375,1074,.349,2415,5167,.467,1654,2216,.746,839,2286,3125,1471,565,312,1190,1811,7609,92.8
5,Cleveland Cavaliers*,82,19880,2838,6337,.448,405,1231,.329,2433,5106,.476,1539,2096,.734,807,2461,3268,1649,540,349,1254,1804,7620,92.9
6,Chicago Bulls*,82,19780,2793,6416,.435,484,1387,.349,2309,5029,.459,1619,2219,.730,897,2456,3353,1675,614,433,1429,1900,7689,93.8
7,Orlando Magic*,82,19780,2739,6191,.442,461,1306,.353,2278,4885,.466,1768,2327,.760,865,2217,3082,1609,678,376,1232,1921,7707,94.0
8,Miami Heat*,82,19855,2895,6517,.444,531,1495,.355,2364,5022,.471,1513,2039,.742,921,2467,3388,1656,562,314,1185,1790,7834,95.5
9,Los Angeles Clippers,82,19730,2912,6436,.452,455,1341,.339,2457,5095,.482,1602,2142,.748,843,2377,3220,1722,582,321,1132,1829,7881,96.1
10,New Orleans/Oklahoma City Hornets,82,19880,3004,6579,.457,559,1575,.355,2445,5004,.489,1395,1839,.759,853,2493,3346,1703,554,392,1119,1733,7962,97.1
11,Indiana Pacers,82,19780,2931,6416,.457,437,1175,.372,2494,5241,.476,1741,2311,.753,915,2499,3414,1642,644,410,1289,1942,8040,98.0
12,Philadelphia 76ers,82,19880,3039,6570,.463,503,1424,.353,2536,5146,.493,1452,1926,.754,969,2404,3373,1825,606,320,1280,1801,8033,98.0
13,New Jersey Nets*,82,19880,2911,6476,.450,519,1455,.357,2392,5021,.476,1723,2261,.762,867,2526,3393,1805,584,369,1188,1886,8064,98.3
14,Portland Trail Blazers,82,19955,2962,6292,.471,467,1293,.361,2495,4999,.499,1678,2157,.778,850,2347,3197,1703,539,380,1127,1750,8069,98.4
15,Atlanta Hawks,82,19880,2953,6335,.466,465,1236,.376,2488,5099,.488,1699,2315,.734,948,2370,3318,1732,597,421,1247,1853,8070,98.4
16,Toronto Raptors*,82,19755,3051,6593,.463,533,1491,.357,2518,5102,.494,1441,1911,.754,848,2641,3489,1742,489,317,1241,1786,8076,98.5
17,Utah Jazz*,82,19805,2819,6191,.455,506,1424,.355,2313,4767,.485,1943,2534,.767,813,2223,3036,1552,623,438,1230,2010,8087,98.6
18,Boston Celtics,82,19855,2966,6337,.468,429,1212,.354,2537,5125,.495,1776,2376,.747,848,2476,3324,1811,604,449,1250,1757,8137,99.2
19,Minnesota Timberwolves,82,20005,3075,6689,.460,518,1488,.348,2557,5201,.492,1510,1987,.760,957,2438,3395,1782,583,360,1163,1679,8178,99.7
20,New York Knicks,82,20005,3021,6566,.460,573,1523,.376,2448,5043,.485,1613,2135,.756,885,2297,3182,1748,616,406,1122,1875,8228,100.3
21,Charlotte Bobcats,82,20005,2999,6450,.465,452,1245,.363,2547,5205,.489,1802,2404,.750,929,2562,3491,1717,603,437,1296,1786,8252,100.6
22,Seattle SuperSonics,82,19830,3126,6568,.476,519,1437,.361,2607,5131,.508,1596,2124,.751,954,2408,3362,1870,590,341,1233,1635,8367,102.0
23,Phoenix Suns*,82,19905,3238,7087,.457,504,1387,.363,2734,5700,.480,1458,1901,.767,1008,2504,3512,1548,566,304,1242,1759,8438,102.9
24,Sacramento Kings,82,19805,3147,6671,.472,557,1524,.365,2590,5147,.503,1600,2115,.757,907,2648,3555,1840,572,405,1335,1990,8451,103.1
25,Los Angeles Lakers*,82,20030,3097,6719,.461,523,1462,.358,2574,5257,.490,1763,2320,.760,955,2508,3463,1798,649,409,1208,1916,8480,103.4
26,Denver Nuggets*,82,19780,3257,7088,.460,554,1569,.353,2703,5519,.490,1438,1945,.739,1006,2461,3467,2010,680,424,1343,1946,8506,103.7
27,Milwaukee Bucks,82,19855,3201,6673,.480,565,1537,.368,2636,5136,.513,1564,2109,.742,1062,2468,3530,2077,615,433,1284,1718,8531,104.0
28,Washington Wizards*,82,19830,3166,6700,.473,598,1585,.377,2568,5115,.502,1668,2146,.777,973,2551,3524,1942,519,380,1291,1927,8598,104.9
29,Memphis Grizzlies,82,19980,3287,6761,.486,576,1480,.389,2711,5281,.513,1603,2113,.759,965,2483,3448,2062,681,450,1253,1992,8753,106.7
30,Golden State Warriors*,82,19755,3171,6871,.462,609,1664,.366,2562,5207,.492,1814,2419,.750,1074,2733,3807,2023,680,399,1525,1832,8765,106.9
